"NU_ANO_CENSO";"CO_MUNICIPIO_IES";"nome_municipio";"IN_CAPITAL_IES";"TP_ORGANIZACAO_ACADEMICA";"TP_REDE";"TP_CATEGORIA_ADMINISTRATIVA";"IN_COMUNITARIA";"IN_CONFESSIONAL";"NO_MANTENEDORA";"CO_MANTENEDORA";"CO_IES";"NO_IES";"SG_IES";"DS_ENDERECO_IES";"DS_NUMERO_ENDERECO_IES";"DS_COMPLEMENTO_ENDERECO_IES";"NO_BAIRRO_IES";"NU_CEP_IES";"QT_TEC_TOTAL";"QT_TEC_FUNDAMENTAL_INCOMP_FEM";"QT_TEC_FUNDAMENTAL_INCOMP_MASC";"QT_TEC_FUNDAMENTAL_COMP_FEM";"QT_TEC_FUNDAMENTAL_COMP_MASC";"QT_TEC_MEDIO_FEM";"QT_TEC_MEDIO_MASC";"QT_TEC_SUPERIOR_FEM";"QT_TEC_SUPERIOR_MASC";"QT_TEC_ESPECIALIZACAO_FEM";"QT_TEC_ESPECIALIZACAO_MASC";"QT_TEC_MESTRADO_FEM";"QT_TEC_MESTRADO_MASC";"QT_TEC_DOUTORADO_FEM";"QT_TEC_DOUTORADO_MASC";"IN_ACESSO_PORTAL_CAPES";"IN_ACESSO_OUTRAS_BASES";"IN_ASSINA_OUTRA_BASE";"IN_REPOSITORIO_INSTITUCIONAL";"IN_BUSCA_INTEGRADA";"IN_SERVICO_INTERNET";"IN_PARTICIPA_REDE_SOCIAL";"IN_CATALOGO_ONLINE";"QT_PERIODICO_ELETRONICO";"QT_LIVRO_ELETRONICO";"QT_DOC_TOTAL";"QT_DOC_EXE";"QT_DOC_EX_FEMI";"QT_DOC_EX_MASC";"QT_DOC_EX_SEM_GRAD";"QT_DOC_EX_GRAD";"QT_DOC_EX_ESP";"QT_DOC_EX_MEST";"QT_DOC_EX_DOUT";"QT_DOC_EX_INT";"QT_DOC_EX_INT_DE";"QT_DOC_EX_INT_SEM_DE";"QT_DOC_EX_PARC";"QT_DOC_EX_HOR";"QT_DOC_EX_0_29";"QT_DOC_EX_30_34";"QT_DOC_EX_35_39";"QT_DOC_EX_40_44";"QT_DOC_EX_45_49";"QT_DOC_EX_50_54";"QT_DOC_EX_55_59";"QT_DOC_EX_60_MAIS";"QT_DOC_EX_BRANCA";"QT_DOC_EX_PRETA";"QT_DOC_EX_PARDA";"QT_DOC_EX_AMARELA";"QT_DOC_EX_INDIGENA";"QT_DOC_EX_COR_ND";"QT_DOC_EX_BRA";"QT_DOC_EX_EST";"QT_DOC_EX_COM_DEFICIENCIA"
"2023";"5300108";"Brasília";"1";"1";"1";"1";"0";"0";"FUNDACAO UNIVERSIDADE DE BRASILIA";"2";"2";"UNIVERSIDADE DE BRASÍLIA";"UNB";"Campus Universitário Darcy Ribeiro";"s/n";"-";"Asa Norte";"70910900";"        2906";"           0";"           0";"           2";"          24";"         100";"         118";"         177";"         225";"         746";"         704";"         386";"         265";"          93";"          66";"1";"0";"1";"1";"1";"1";"1";"1";"         441";"       13095";"        3120";"        2801";"        1288";"        1513";"           0";"           9";"          18";"         224";"        2550";"        2647";"        2323";"         324";"         154";"           0";"          44";"         146";"         335";"         500";"         482";"         369";"         377";"         548";"        1958";"         109";"         625";"          66";"          11";"          32";"        2669";"         132";"          10"
"2023";"5300108";"Brasília";"1";"2";"2";"5";"0";"0";"CENTRO DE ENSINO UNIFICADO DE BRASILIA CEUB";"277";"402";"CENTRO UNIVERSITÁRIO DE BRASÍLIA";"UNICEUB";"Eqn 707 907 Conjunto C";"S/N";"Campus do CEUB";"Asa Norte";"70790075";"         359";"           0";"           0";"           0";"           0";"          47";"          51";"          80";"          73";"          60";"          39";"           5";"           4";"           0";"           0";"1";"0";"1";"1";"1";"1";"0";"1";"       19485";"       28429";"         756";"         751";"         332";"         419";"           0";"           0";"         176";"         335";"         240";"         147";"           0";"         147";"         291";"         313";"          12";"          88";"         108";"         124";"         137";"         102";"          83";"          97";"         499";"          20";"         191";"           2";"           3";"          36";"         747";"           4";"           7"
"2023";"5300108";"Brasília";"1";"1";"2";"5";"1";"1";"UNIAO BRASILEIRA DE EDUCACAO CATOLICA";"278";"403";"UNIVERSIDADE CATÓLICA DE BRASÍLIA";"UCB";"QS 07, EPCT";"LOTE 01";"Universidade Católica de Brasília";"Areal (Águas Claras)";"71966900";"         493";"           5";"           6";"           8";"          12";"         100";"          73";"         132";"          87";"          45";"          17";"           5";"           1";"           2";"           0";"1";"0";"1";"1";"0";"1";"1";"1";"        2383";"       13156";"         444";"         420";"         207";"         213";"           0";"           0";"          97";"         170";"         153";"         135";"           0";"         135";"         244";"          41";"          13";"          46";"          69";"          92";"          68";"          66";"          24";"          42";"         155";"           4";"         182";"           1";"           0";"          78";"         417";"           3";"           1"
"2023";"5300108";"Brasília";"1";"3";"2";"5";"0";"0";"UNIAO PIONEIRA DE INTEGRACAO SOCIAL";"279";"404";"FACULDADES INTEGRADAS DA UPIS";"UPIS";"SEPS EQ 712/912";"S/N";"CONJUNTO ""A""";"ASA SUL";"70390125";"          66";"           0";"           4";"           2";"           4";"           6";"           4";"          21";"          14";"           4";"           6";"           0";"           1";"           0";"           0";"0";"0";"1";"1";"1";"1";"1";"1";"           0";"       15322";"         121";"          97";"          32";"          65";"           0";"           0";"          33";"          45";"          19";"           3";"           0";"           3";"          25";"          69";"           2";"          12";"           7";"          15";"          14";"          13";"          14";"          20";"          56";"           5";"          35";"           1";"           0";"           0";"          96";"           1";"           0"
"2023";"5300108";"Brasília";"1";"2";"2";"4";"0";"0";"CENTRO DE ENSINO UNIFICADO DO DISTRITO FEDERAL LTDA";"359";"518";"CENTRO UNIVERSITÁRIO DO DISTRITO FEDERAL";"UDF";"SEP - SUL EQ 704 / 904 Conjunto A";"S/N";"Conjunto A";"Asa Sul";"70390045";"         126";"           0";"           2";"           1";"           1";"          34";"          30";"          35";"          10";"           8";"           4";"           0";"           1";"           0";"           0";"0";"0";"1";"1";"1";"1";"0";"1";"       15043";"       31907";"         325";"         322";"         164";"         158";"           0";"           0";"          21";"         181";"         120";"          65";"           0";"          65";"         160";"          97";"          16";"          56";"          67";"          75";"          40";"          31";"          21";"          16";"         175";"          11";"          72";"           4";"           0";"          60";"         319";"           3";"           8"
"2023";"5300108";"Brasília";"1";"3";"2";"5";"0";"0";"FUNDACAO BRASILEIRA DE TEATRO";"470";"706";"FACULDADE DE ARTES DULCINA DE MORAES";"FADM";"Sds Bl C";"30/64";"EDIFICIO FBT";"ASA SUL";"70392902";"           8";"           0";"           0";"           0";"           0";"           0";"           2";"           1";"           1";"           2";"           1";"           0";"           1";"           0";"           0";"0";"0";"1";"0";"1";"1";"1";"0";"          10";"          10";"          12";"           9";"           4";"           5";"           0";"           0";"           7";"           1";"           1";"           0";"           0";"           0";"           0";"           9";"           0";"           2";"           0";"           2";"           0";"           1";"           2";"           2";"           3";"           0";"           2";"           0";"           0";"           4";"           9";"           0";"           0"
"2023";"5212501";"Luziânia";"0";"2";"2";"4";"0";"0";"UNIDESC LTDA";"17143";"826";"CENTRO UNIVERSITÁRIO DE DESENVOLVIMENTO DO CENTRO OESTE";"UNIDESC";"Rodovia BR-040, KM 16";"s/n";"-";"Jardim Flamboyant";"72852580";"         103";"           1";"           1";"           4";"           6";"          30";"          28";"           7";"           9";"          10";"           3";"           2";"           2";"           0";"           0";"1";"0";"1";"1";"1";"1";"1";"1";"         975";"       15323";"          68";"          68";"          35";"          33";"           0";"           0";"           9";"          38";"          21";"          18";"           0";"          18";"          46";"           4";"           2";"           5";"          16";"          12";"          13";"           8";"           6";"           6";"          28";"           3";"          12";"           0";"           0";"          25";"          68";"           0";"           0"
"2023";"3170404";"Unaí";"0";"3";"2";"5";"0";"0";"ASSOCIACAO DE ENSINO E PESQUISA DE UNAI AEPU";"716";"1019";"FACULDADE DE CIÊNCIAS E TECNOLOGIA DE UNAÍ - FACTU";"FACTU";"Rua Rua Eduardo Rodrigues Barbosa";"180";"-";"Centro";"38610061";"          39";"           2";"           2";"           3";"           2";"           8";"           5";"           3";"           1";"           4";"           1";"           3";"           2";"           2";"           1";"0";"0";"0";"1";"1";"1";"1";"1";"           0";"       12000";"          38";"          38";"          15";"          23";"           0";"           0";"          13";"          18";"           7";"           9";"           8";"           1";"          17";"          12";"           1";"           5";"           6";"           9";"           4";"           6";"           7";"           0";"          23";"           0";"           8";"           1";"           0";"           6";"          38";"           0";"           0"
"2023";"5300108";"Brasília";"1";"2";"2";"4";"0";"0";"CESB - CENTRO DE EDUCACAO SUPERIOR DE BRASILIA LTDA";"740";"1060";"CENTRO UNIVERSITÁRIO DO INSTITUTO DE EDUCAÇÃO SUPERIOR DE BRASÍLIA - IESB";"IESB";"Quadra SGAN 609 Módulo D";"S/N";"Bloco D - Avenida L2 Norte";"Asa Norte";"70830404";"         380";"          10";"           9";"           7";"           8";"          85";"         104";"          51";"          55";"          25";"          20";"           1";"           1";"           2";"           2";"0";"0";"1";"0";"0";"1";"1";"1";"        7000";"       16000";"         332";"         318";"         120";"         198";"           0";"           0";"          57";"         159";"         102";"          67";"           1";"          66";"          59";"         192";"           1";"          29";"          43";"          66";"          63";"          48";"          26";"          42";"         177";"           7";"         133";"           1";"           0";"           0";"         314";"           4";"           1"
"2023";"3170404";"Unaí";"0";"3";"2";"5";"1";"0";"CAMPANHA NACIONAL DE ESCOLAS DA COMUNIDADE";"407";"1070";"FACULDADE CNEC UNAÍ";"";"Rua Celina Lisboa Frederico";"142";"-";"Centro";"38610000";"          10";"           0";"           0";"           1";"           0";"           0";"           1";"           2";"           0";"           2";"           1";"           0";"           3";"           0";"           0";"0";"0";"1";"1";"1";"1";"0";"0";"           0";"       10000";"           6";"           6";"           2";"           4";"           0";"           0";"           3";"           3";"           0";"           1";"           0";"           1";"           1";"           4";"           2";"           0";"           1";"           0";"           1";"           1";"           1";"           0";"           4";"           0";"           2";"           0";"           0";"           0";"           6";"           0";"           0"
